month,avg_score
2016-09-01,1.0
2016-10-01,3.5700934579439254
2016-12-01,5.0
2017-01-01,4.063211125158028
2017-02-01,4.017494356659142
2017-03-01,4.072659176029963
2017-04-01,4.045169385194479
2017-05-01,4.141036072687822
2017-06-01,4.146032726150047
2017-07-01,4.168698681263996
2017-08-01,4.234736355226642
2017-09-01,4.186957541637344
2017-10-01,4.123834309260464
2017-11-01,3.9098175036632474
2017-12-01,4.018133333333333
2018-01-01,4.038865836791148
2018-02-01,3.8247545373400773
2018-03-01,3.7518115942028984
2018-04-01,4.16180525322885
2018-05-01,4.193190121291831
2018-06-01,4.27783203125
2018-07-01,4.263704650791114
2018-08-01,4.256244218316374
2018-09-01,1.8
2018-10-01,2.25
